TASK OVERVIEW TRAVIAN V4.6,,,,,,,,,,,F L A W L E S S,
Task,Rewards with hero bonus,,,,,Basic rewards without hero bonus,,,,,Hero level:,6
,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,Language:,EN
Main Building,2475,2475,2475,2475,165,2250,2250,2250,2250,150,,
Build Main Building level 1,165,165,165,165,11,150,150,150,150,10,,
Upgrade Main Building to level 3,330,330,330,330,22,300,300,300,300,20,,
Upgrade Main Building to level 7,495,495,495,495,33,450,450,450,450,30,,
Upgrade Main Building to level 12,660,660,660,660,44,600,600,600,600,40,,
Upgrade Main Building to level 20,825,825,825,825,55,750,750,750,750,50,,
,,,,,,,,,,,,
Woodcutter,5361,5361,5361,5361,356,4875,4875,4875,4875,325,,
One Woodcutter to level 2,165,165,165,165,11,150,150,150,150,10,,
All Woodcutters to level 2,247,247,247,247,16,225,225,225,225,15,,
All Woodcutters to level 3,495,495,495,495,33,450,450,450,450,30,,
One Woodcutter to level 4,330,330,330,330,22,300,300,300,300,20,,
All Woodcutters to level 5,742,742,742,742,49,675,675,675,675,45,,
One Woodcutter to level 7,495,495,495,495,33,450,450,450,450,30,,
All Woodcutters to level 8,990,990,990,990,66,900,900,900,900,60,,
One Woodcutter to level 10,660,660,660,660,44,600,600,600,600,40,,
All Woodcutters to level 10,1237,1237,1237,1237,82,1125,1125,1125,1125,75,,
,,,,,,,,,,,,
Claypit,5361,5361,5361,5361,356,4875,4875,4875,4875,325,,
One Claypit to level 2,165,165,165,165,11,150,150,150,150,10,,
All Claypits to level 2,247,247,247,247,16,225,225,225,225,15,,
All Claypits to level 3,495,495,495,495,33,450,450,450,450,30,,
One Claypit to level 4,330,330,330,330,22,300,300,300,300,20,,
All Claypits to level 5,742,742,742,742,49,675,675,675,675,45,,
One Claypit to level 7,495,495,495,495,33,450,450,450,450,30,,
All Claypits to level 8,990,990,990,990,66,900,900,900,900,60,,
One Claypit to level 10,660,660,660,660,44,600,600,600,600,40,,
All Claypits to level 10,1237,1237,1237,1237,82,1125,1125,1125,1125,75,,
,,,,,,,,,,,,
Ironmine,5361,5361,5361,5361,356,4875,4875,4875,4875,325,,
One Ironmine to level 2,165,165,165,165,11,150,150,150,150,10,,
All Ironmines to level 2,247,247,247,247,16,225,225,225,225,15,,
All Ironmines to level 3,495,495,495,495,33,450,450,450,450,30,,
One Ironmine to level 4,330,330,330,330,22,300,300,300,300,20,,
All Ironmines to level 5,742,742,742,742,49,675,675,675,675,45,,
One Ironmine to level 7,495,495,495,495,33,450,450,450,450,30,,
All Ironmines to level 8,990,990,990,990,66,900,900,900,900,60,,
One Ironmine to level 10,660,660,660,660,44,600,600,600,600,40,,
All Ironmines to level 10,1237,1237,1237,1237,82,1125,1125,1125,1125,75,,
,,,,,,,,,,,,
Cropland,5361,5361,5361,5361,356,4875,4875,4875,4875,325,,
One Cropland to level 2,165,165,165,165,11,150,150,150,150,10,,
